0,1,ma1_5,ma1_7,ma1_10,ma1_20
2011-07-22,78.58,78.89800000000007,78.95571428571418,78.98399999999997,79.8695
2011-07-23,78.32,78.76000000000008,78.84428571428562,78.87699999999997,79.745
2011-07-24,78.32,78.61200000000007,78.73285714285704,78.84699999999997,79.6225
2011-07-25,78.37,78.45600000000006,78.64142857142848,78.76999999999997,79.4915
2011-07-26,78.1,78.33800000000006,78.50428571428561,78.66999999999997,79.35400000000001
2011-07-27,77.81,78.18400000000007,78.31285714285704,78.54099999999997,79.1975
2011-07-28,77.83,78.08600000000007,78.1899999999999,78.42299999999997,79.026
2011-07-29,77.5,77.92200000000007,78.03571428571418,78.26699999999998,78.8735
2011-07-30,77.15,77.67800000000007,77.86857142857131,78.06699999999998,78.7035
2011-07-31,77.15,77.48800000000006,77.70142857142845,77.91299999999998,78.52400000000002
2011-08-01,77.44,77.41400000000006,77.56857142857132,77.79899999999999,78.39150000000002
2011-08-02,77.42,77.33200000000006,77.47142857142845,77.70899999999999,78.29300000000002
2011-08-03,77.27,77.28600000000006,77.39428571428559,77.604,78.22550000000001
2011-08-04,78.97,77.65000000000006,77.55714285714272,77.664,78.21700000000001
2011-08-05,78.58,77.93600000000006,77.71142857142844,77.712,78.191
2011-08-06,78.0,78.04800000000006,77.83285714285702,77.731,78.13600000000001
2011-08-07,78.0,78.16400000000006,77.95428571428559,77.74799999999999,78.08550000000001
2011-08-08,78.14,78.33800000000005,78.0542857142856,77.81199999999998,78.03950000000002
2011-08-09,77.18,77.98000000000006,78.0199999999999,77.815,77.94100000000002
2011-08-10,76.83,77.63000000000007,77.95714285714277,77.783,77.84800000000001
2011-08-11,76.59,77.34800000000007,77.61714285714277,77.69800000000001,77.7485
2011-08-12,76.82,77.11200000000007,77.36571428571419,77.638,77.67350000000002
2011-08-13,76.84,76.85200000000006,77.19999999999992,77.595,77.5995
2011-08-14,76.84,76.78400000000008,77.03428571428563,77.382,77.523
2011-08-15,76.81,76.78000000000007,76.84428571428565,77.20500000000001,77.4585
2011-08-16,76.85,76.83200000000006,76.79714285714279,77.09,77.4105
2011-08-17,76.71,76.81000000000006,76.77999999999993,76.96100000000001,77.3545
2011-08-18,76.62,76.76600000000005,76.78428571428563,76.80900000000001,77.3105
2011-08-19,76.5,76.69800000000005,76.73857142857135,76.74100000000001,77.27799999999999
2011-08-20,76.75,76.68600000000005,76.72571428571419,76.733,77.258
2011-08-21,76.75,76.66600000000005,76.71285714285705,76.749,77.22349999999999
2011-08-22,76.74,76.67200000000005,76.70285714285706,76.74100000000001,77.18949999999998
2011-08-23,76.78,76.70400000000006,76.69285714285705,76.735,77.16499999999999
2011-08-24,76.64,76.73200000000006,76.68285714285705,76.715,77.04849999999999
2011-08-25,76.96,76.77400000000006,76.73142857142848,76.72999999999999,76.9675
2011-08-26,77.3,76.88400000000006,76.84571428571418,76.77499999999999,76.93249999999999
2011-08-27,76.74,76.88400000000006,76.84428571428562,76.77799999999999,76.86949999999999
2011-08-28,76.74,76.87600000000006,76.84285714285704,76.78999999999999,76.7995
2011-08-29,76.72,76.89200000000008,76.8399999999999,76.81199999999998,76.77649999999998
2011-08-30,76.88,76.87600000000008,76.85428571428562,76.82499999999999,76.779
2011-08-31,76.59,76.73400000000007,76.84714285714277,76.809,76.779
2011-09-01,76.92,76.77000000000007,76.84142857142847,76.82699999999998,76.784
2011-09-02,76.86,76.79400000000007,76.77857142857134,76.835,76.785
2011-09-03,76.9,76.83000000000007,76.80142857142847,76.86099999999999,76.78800000000001
2011-09-04,76.9,76.83400000000006,76.82428571428561,76.85499999999999,76.79250000000002
2011-09-05,76.74,76.86400000000006,76.82714285714276,76.79899999999999,76.78700000000002
2011-09-06,76.8,76.84000000000006,76.81571428571418,76.80499999999998,76.79150000000001
2011-09-07,77.16,76.90000000000005,76.89714285714274,76.84699999999998,76.81850000000001
2011-09-08,77.38,76.99600000000005,76.96285714285703,76.91299999999998,76.86250000000003
2011-09-09,77.47,77.11000000000006,77.04999999999988,76.97199999999998,76.89850000000003
2011-09-10,77.46,77.25400000000005,77.1299999999999,77.05899999999998,76.93400000000003
2011-09-11,77.46,77.38600000000005,77.20999999999991,77.11299999999999,76.97000000000003
2011-09-12,77.47,77.44800000000005,77.31428571428562,77.17399999999999,77.00450000000004
2011-09-13,76.99,77.37000000000005,77.3414285714285,77.18299999999999,77.02200000000002
2011-09-14,76.91,77.25800000000004,77.3057142857142,77.184,77.01950000000002
2011-09-15,76.69,77.10400000000004,77.20714285714278,77.179,76.98900000000003
2011-09-16,76.81,76.97400000000005,77.11285714285707,77.17999999999999,76.99250000000004
2011-09-17,76.93,76.86600000000006,77.0371428571428,77.15700000000001,77.00200000000004
2011-09-18,76.93,76.85400000000006,76.96142857142851,77.112,77.01250000000003
2011-09-19,76.91,76.85400000000007,76.8814285714285,77.056,77.01400000000004
2011-09-20,76.53,76.82200000000006,76.81571428571421,76.963,77.01100000000004
2011-09-21,76.34,76.72800000000005,76.73428571428565,76.85099999999998,76.98200000000003
2011-09-22,76.75,76.69200000000005,76.74285714285709,76.77899999999998,76.97650000000003
2011-09-23,76.3,76.56600000000006,76.66999999999994,76.70999999999998,76.94650000000003
2011-09-24,76.46,76.47600000000004,76.60285714285708,76.66499999999999,76.92450000000002
2011-09-25,76.46,76.46200000000003,76.53571428571422,76.64199999999998,76.91050000000003
2011-09-26,76.41,76.47600000000003,76.46428571428565,76.60199999999998,76.89100000000003
2011-09-27,76.31,76.38800000000002,76.43285714285707,76.53999999999996,76.84850000000003
2011-09-28,76.59,76.44600000000001,76.46857142857137,76.50599999999997,76.80900000000001
2011-09-29,76.5,76.45400000000002,76.43285714285707,76.46499999999997,76.76050000000001
2011-09-30,76.58,76.47800000000002,76.47285714285708,76.46999999999998,76.71650000000001
2011-10-01,77.09,76.61400000000003,76.56285714285708,76.54499999999999,76.69800000000001
2011-10-02,77.09,76.77000000000004,76.65285714285709,76.57899999999998,76.679
2011-10-03,76.97,76.84600000000003,76.7328571428571,76.64599999999999,76.678
2011-10-04,76.66,76.87800000000001,76.78285714285708,76.66599999999998,76.6655
2011-10-05,76.63,76.88800000000002,76.78857142857136,76.68299999999998,76.6625
2011-10-06,76.74,76.81800000000003,76.82285714285707,76.71599999999998,76.659
2011-10-07,76.62,76.72400000000002,76.82857142857135,76.74699999999999,76.6435
2011-10-08,76.78,76.686,76.78428571428563,76.76599999999998,76.636
2011-10-09,76.78,76.71000000000001,76.73999999999991,76.79399999999997,76.6295
2011-10-10,76.71,76.72600000000001,76.70285714285706,76.80699999999997,76.6385
2011-10-11,76.66,76.71000000000001,76.70285714285706,76.76399999999997,76.65450000000001
2011-10-12,76.69,76.72400000000002,76.7114285714285,76.72399999999996,76.65150000000001
2011-10-13,77.04,76.77600000000002,76.75428571428563,76.73099999999997,76.6885
2011-10-14,76.92,76.80400000000002,76.79714285714276,76.75699999999996,76.71150000000002
2011-10-15,77.08,76.87800000000001,76.83999999999992,76.80199999999996,76.7425
2011-10-16,77.08,76.96200000000002,76.88285714285708,76.83599999999997,76.776
2011-10-17,77.18,77.06000000000002,76.94999999999992,76.89199999999997,76.8195
2011-10-18,76.82,77.016,76.97285714285705,76.89599999999999,76.831
2011-10-19,76.68,76.968,76.97142857142846,76.886,76.84
2011-10-20,76.74,76.9,76.92857142857133,76.88899999999998,76.84800000000001
2011-10-21,76.78,76.84000000000002,76.90857142857134,76.90099999999998,76.83250000000001
2011-10-22,76.2,76.64400000000002,76.78285714285705,76.852,76.78800000000003
2011-10-23,76.2,76.52000000000001,76.65714285714276,76.768,76.74950000000003
2011-10-24,76.24,76.43200000000002,76.52285714285706,76.70000000000002,76.72850000000003
2011-10-25,76.08,76.30000000000001,76.41714285714276,76.60000000000001,76.70100000000002
2011-10-26,76.02,76.148,76.32285714285705,76.494,76.66500000000002
2011-10-27,76.05,76.11800000000001,76.22428571428561,76.381,76.63650000000003
2011-10-28,75.86,76.05000000000001,76.09285714285704,76.285,76.59050000000002
2011-10-29,75.63,75.92800000000001,76.01142857142847,76.17999999999999,76.53300000000003
2011-10-30,75.63,75.83800000000001,75.92999999999988,76.06899999999999,76.47900000000001
2011-10-31,79.18,76.47000000000001,76.34999999999988,76.309,76.60500000000002
2011-11-01,78.14,76.888,76.64428571428559,76.50299999999999,76.67750000000002
2011-11-02,78.12,77.34,76.94428571428558,76.69499999999998,76.73150000000003
